Time Linearsearch: ID, TIME1, TIME2
0, 0.000000, 0.000005
1, 0.000000, 0.000003
2, 0.000000, 0.000001
3, 0.000000, 0.000003
4, 0.000000, 0.000005
5, 0.000000, 0.000001
6, 0.001023, 0.000004
7, 0.000261, 0.000003
8, 0.000000, 0.000004
9, 0.000015, 0.000001
10, 0.001014, 0.000000
11, 0.000329, 0.000003
12, 0.000000, 0.000002
13, 0.000031, 0.000005
14, 0.000869, 0.000004
15, 0.001238, 0.000003
16, 0.001016, 0.000004
17, 0.000413, 0.000001
18, 0.000022, 0.000003
19, 0.000932, 0.000005
20, 0.000000, 0.000004
21, 0.000946, 0.000006
22, 0.000000, 0.000003
23, 0.000212, 0.000003
24, 0.000707, 0.000004
25, 0.000864, 0.000001
26, 0.000000, 0.000003
27, 0.000000, 0.000004
28, 0.000000, 0.000003
29, 0.001164, 0.000003
30, 0.000000, 0.000005
31, 0.000345, 0.000004
32, 0.001061, 0.000004
33, 0.000642, 0.000001
34, 0.000000, 0.000003
35, 0.000000, 0.000005
36, 0.000250, 0.000006
37, 0.000000, 0.000002
38, 0.000000, 0.000003
39, 0.000000, 0.000004
40, 0.000501, 0.000003
41, 0.000585, 0.000004
42, 0.000845, 0.000001
43, 0.000000, 0.000002
44, 0.000000, 0.000003
45, 0.001086, 0.000000
46, 0.000085, 0.000003
47, 0.000112, 0.000005
48, 0.000000, 0.000002
49, 0.000860, 0.000004
50, 0.000000, 0.000004
51, 0.000000, 0.000004
52, 0.000000, 0.000003
53, 0.000846, 0.000005
54, 0.000135, 0.000001
55, 0.000203, 0.000006
56, 0.000262, 0.000004
57, 0.000162, 0.000001
58, 0.000000, 0.000004
59, 0.000130, 0.000002
60, 0.000468, 0.000002
61, 0.000466, 0.000002
62, 0.000231, 0.000004
63, 0.000152, 0.000006
64, 0.000000, 0.000001
65, 0.000103, 0.000003
66, 0.000499, 0.000004
67, 0.000000, 0.000003
68, 0.000000, 0.000000
69, 0.000264, 0.000005
70, 0.000000, 0.000002
71, 0.000095, 0.000003
72, 0.001007, 0.000005
73, 0.000773, 0.000003
74, 0.000000, 0.000001
75, 0.000630, 0.000000
76, 0.000555, 0.000003
77, 0.000000, 0.000004
78, 0.000000, 0.000002
79, 0.000000, 0.000004
80, 0.000655, 0.000004
81, 0.000242, 0.000002
82, 0.000000, 0.000003
83, 0.000197, 0.000003
84, 0.000631, 0.000005
85, 0.000000, 0.000003
86, 0.000626, 0.000003
87, 0.000391, 0.000003
88, 0.000456, 0.000006
89, 0.000000, 0.000003
90, 0.000009, 0.000003
91, 0.000113, 0.000005
92, 0.000000, 0.000001
93, 0.001080, 0.000003
94, 0.000610, 0.000003
95, 0.000039, 0.000002
96, 0.000041, 0.000002
97, 0.000000, 0.000001
98, 0.000495, 0.000005
99, 0.000625, 0.000004
100, 0.000000, 0.000003
101, 0.000346, 0.000003
102, 0.000652, 0.000006
103, 0.000025, 0.000005
104, 0.000933, 0.000005
105, 0.000000, 0.000006
106, 0.000418, 0.000005
107, 0.000260, 0.000004
108, 0.000610, 0.000003
109, 0.000000, 0.000005
110, 0.000380, 0.000005
111, 0.000173, 0.000008
112, 0.000408, 0.000005
113, 0.000005, 0.000004
114, 0.000168, 0.000007
115, 0.000298, 0.000004
116, 0.000610, 0.000005
117, 0.000967, 0.000001
118, 0.000176, 0.000004
119, 0.000000, 0.000004
120, 0.000235, 0.000005
121, 0.000799, 0.000006
122, 0.000000, 0.000005
123, 0.000000, 0.000003
124, 0.000000, 0.000005
125, 0.000000, 0.000003
126, 0.000848, 0.000002
127, 0.001101, 0.000004
128, 0.000933, 0.000002
129, 0.000000, 0.000005
130, 0.000000, 0.000005
131, 0.000000, 0.000004
132, 0.000000, 0.000001
133, 0.000041, 0.000003
134, 0.000000, 0.000003
135, 0.000022, 0.000003
136, 0.000663, 0.000002
137, 0.000000, 0.000005
138, 0.000000, 0.000000
139, 0.000000, 0.000001
140, 0.000562, 0.000003
141, 0.000000, 0.000002
142, 0.001178, 0.000003
143, 0.000000, 0.000003
144, 0.000006, 0.000003
145, 0.000131, 0.000002
146, 0.000433, 0.000003
147, 0.000000, 0.000001
148, 0.001033, 0.000003
149, 0.000599, 0.000004
150, 0.000000, 0.000003
151, 0.000025, 0.000005
152, 0.000000, 0.000002
153, 0.001239, 0.000001
154, 0.000489, 0.000002
155, 0.000000, 0.000004
156, 0.001087, 0.000004
157, 0.000634, 0.000004
158, 0.000000, 0.000004
159, 0.000000, 0.000005
160, 0.000142, 0.000003
161, 0.000000, 0.000003
162, 0.000000, 0.000000
163, 0.000000, 0.000004
164, 0.000000, 0.000004
165, 0.000000, 0.000004
166, 0.000000, 0.000001
167, 0.000000, 0.000003
168, 0.000610, 0.000004
169, 0.000090, 0.000004
170, 0.000488, 0.000003
171, 0.000154, 0.000003
172, 0.000304, 0.000003
173, 0.000000, 0.000004
174, 0.001226, 0.000005
175, 0.000650, 0.000003
176, 0.000382, 0.000001
177, 0.000259, 0.000003
178, 0.000000, 0.000000
179, 0.000664, 0.000002
180, 0.000197, 0.000001
181, 0.000000, 0.000002
182, 0.000040, 0.000003
183, 0.001079, 0.000002
184, 0.000000, 0.000003
185, 0.000860, 0.000005
186, 0.001091, 0.000001
187, 0.000826, 0.000001
188, 0.000000, 0.000005
189, 0.000000, 0.000004
190, 0.000000, 0.000004
191, 0.000447, 0.000005
192, 0.000889, 0.000003
193, 0.000913, 0.000004
194, 0.000000, 0.000004
195, 0.000975, 0.000005
196, 0.000200, 0.000004
197, 0.000000, 0.000004
198, 0.000489, 0.000003
199, 0.000929, 0.000004
200, 0.000000, 0.000001
201, 0.000004, 0.000001
202, 0.001110, 0.000003
203, 0.000319, 0.000001
204, 0.000432, 0.000005
205, 0.000124, 0.000004
206, 0.000000, 0.000003
207, 0.000305, 0.000002
208, 0.000000, 0.000003
209, 0.000000, 0.000001
210, 0.001033, 0.000003
211, 0.001236, 0.000005
212, 0.000000, 0.000005
213, 0.000658, 0.000004
214, 0.000435, 0.000003
215, 0.000409, 0.000003
216, 0.000496, 0.000004
217, 0.000950, 0.000003
218, 0.000198, 0.000004
219, 0.000000, 0.000004
220, 0.000944, 0.000005
221, 0.000000, 0.000005
222, 0.000279, 0.000003
223, 0.000000, 0.000003
224, 0.000420, 0.000003
225, 0.000866, 0.000002
226, 0.000081, 0.000003
227, 0.000000, 0.000003
228, 0.000034, 0.000002
229, 0.000461, 0.000003
230, 0.000000, 0.000004
231, 0.000173, 0.000005
232, 0.000292, 0.000007
233, 0.000014, 0.000004
234, 0.000241, 0.000001
235, 0.000047, 0.000004
236, 0.000988, 0.000003
237, 0.000558, 0.000003
238, 0.000694, 0.000003
239, 0.001058, 0.000004
240, 0.000000, 0.000002
241, 0.000000, 0.000003
242, 0.000410, 0.000001
243, 0.000000, 0.000004
244, 0.000000, 0.000004
245, 0.000915, 0.000004
246, 0.000293, 0.000006
247, 0.000183, 0.000005
248, 0.000032, 0.000003
249, 0.000000, 0.000003
250, 0.000421, 0.000005
251, 0.000000, 0.000006
252, 0.000463, 0.000003
253, 0.000000, 0.000003
254, 0.001120, 0.000004
255, 0.001166, 0.000003
256, 0.000000, 0.000004
257, 0.000503, 0.000001
258, 0.000000, 0.000001
259, 0.000324, 0.000008
260, 0.000000, 0.000001
261, 0.000958, 0.000001
262, 0.000214, 0.000007
263, 0.000792, 0.000004
264, 0.000756, 0.000004
265, 0.000000, 0.000005
266, 0.000309, 0.000002
267, 0.000221, 0.000004
268, 0.000000, 0.000003
269, 0.001141, 0.000001
270, 0.000000, 0.000005
271, 0.000173, 0.000005
272, 0.000000, 0.000002
273, 0.000584, 0.000002
274, 0.000887, 0.000000
275, 0.000000, 0.000001
276, 0.000000, 0.000004
277, 0.000000, 0.000004
278, 0.000052, 0.000001
279, 0.000000, 0.000003
280, 0.001027, 0.000000
281, 0.000488, 0.000004
282, 0.000698, 0.000003
283, 0.000000, 0.000006
284, 0.000994, 0.000001
285, 0.001186, 0.000000
286, 0.000000, 0.000001
287, 0.000687, 0.000005
288, 0.000554, 0.000001
289, 0.000000, 0.000001
290, 0.000000, 0.000001
291, 0.000268, 0.000005
292, 0.000000, 0.000003
293, 0.000000, 0.000001
294, 0.000000, 0.000003
295, 0.000000, 0.000002
296, 0.000000, 0.000000
297, 0.001129, 0.000003
298, 0.000290, 0.000001
299, 0.000000, 0.000002
300, 0.000395, 0.000002
301, 0.000482, 0.000001
302, 0.000019, 0.000004
303, 0.000487, 0.000000
304, 0.000000, 0.000002
305, 0.000912, 0.000000
306, 0.000060, 0.000002
307, 0.001007, 0.000005
308, 0.000376, 0.000001
309, 0.000746, 0.000003
310, 0.000490, 0.000001
311, 0.000164, 0.000005
312, 0.000111, 0.000000
313, 0.000197, 0.000000
314, 0.000894, 0.000001
315, 0.001136, 0.000001
316, 0.000942, 0.000002
317, 0.001080, 0.000001
318, 0.001158, 0.000000
319, 0.000526, 0.000006
320, 0.000221, 0.000001
321, 0.000501, 0.000003
322, 0.000732, 0.000000
323, 0.000000, 0.000000
324, 0.000433, 0.000001
325, 0.001034, 0.000000
326, 0.000000, 0.000009
327, 0.000815, 0.000001
328, 0.000019, 0.000001
329, 0.000645, 0.000000
330, 0.000445, 0.000001
331, 0.000101, 0.000003
332, 0.000000, 0.000005
333, 0.000881, 0.000003
334, 0.000000, 0.000002
335, 0.000000, 0.000005
336, 0.000000, 0.000004
337, 0.000529, 0.000004
338, 0.000912, 0.000004
339, 0.000372, 0.000004
340, 0.000374, 0.000002
341, 0.000000, 0.000008
342, 0.000000, 0.000004
343, 0.000224, 0.000004
344, 0.000094, 0.000005
345, 0.000510, 0.000005
346, 0.000038, 0.000000
347, 0.000000, 0.000007
348, 0.000252, 0.000001
349, 0.000720, 0.000007
350, 0.000000, 0.000005
351, 0.000000, 0.000003
352, 0.000257, 0.000004
353, 0.000000, 0.000003
354, 0.000000, 0.000003
355, 0.000268, 0.000003
356, 0.000156, 0.000003
357, 0.000817, 0.000005
358, 0.000385, 0.000006
359, 0.000812, 0.000005
360, 0.000000, 0.000004
361, 0.000861, 0.000003
362, 0.000000, 0.000003
363, 0.001166, 0.000005
364, 0.001135, 0.000002
365, 0.000019, 0.000005
366, 0.001127, 0.000004
367, 0.000702, 0.000002
368, 0.000822, 0.000003
369, 0.000000, 0.000004
370, 0.000795, 0.000006
371, 0.000171, 0.000004
372, 0.001027, 0.000004
373, 0.000912, 0.000002
374, 0.000848, 0.000005
375, 0.000166, 0.000003
376, 0.000000, 0.000004
377, 0.000000, 0.000002
378, 0.000520, 0.000005
379, 0.000000, 0.000004
380, 0.000888, 0.000004
381, 0.000447, 0.000002
382, 0.000321, 0.000007
383, 0.000000, 0.000005
384, 0.000030, 0.000005
385, 0.000000, 0.000003
386, 0.000000, 0.000003
387, 0.000000, 0.000005
388, 0.000000, 0.000003
389, 0.000151, 0.000003
390, 0.000000, 0.000003
391, 0.000279, 0.000003
